platform,Rank,Name,Price,Chg 24H,Chg 7D,Market Cap,Vol (24h),IDO ROI USD,ATH IDO ROI USD,IDO Date,Raised,seedify,seedify,red kite,red kite,bscpad,bscpad,paid,paid,polka,polka,tpad,tpad,dao maker,dao maker,btc price,btc price,,,,init mcap,init FDMC,launchpad,symbol
SFUND,1868,HololootHOL,$0.20,-0.68%,-13.30%,$ 589.73K,$ 19.26K,1.02,4.55,9 Dec 2021,"$250,000",1.02,4.55,,,,,,,,,,,,,,,9 Dec 2021,,HololootHOL,,,SFUND
SFUND,,GeopolyGEO,$0.01,-0.32%,-20.70%,$ 290.08K,$ 12.58K,0.55,3.76,12 Dec 2021,"$600,000",0.55,3.76,,,,,,,,,,,,,,,12 Dec 2021,,GeopolyGEO,,,SFUND
SFUND,1809,BattleverseBVC,$0.14,-5.46%,N/A,$ 833.93K,$ 139.16K,2.88,3.3,16 Feb,"$500,000",2.88,3.3,,,,,,,,,,,,,289.2857143,44.55,16 Feb,40500,BattleverseBVC,,,SFUND
SFUND,1972,Attack WagonATK,$0.01,0.0385,-19.40%,$ 259.55K,$ 16.73K,0.45,2.88,2 Dec 2021,"$250,000",0.45,2.88,,,,,,,,,,,,,403.5714286,62.15,2 Dec 2021,56500,Attack WagonATK,,,SFUND
SFUND,,ToyoverseTOYO,N/A,N/A,N/A,N/A,N/A,,,21 Feb,"$750,000",,,,,,,,,,,,,,,,,,,ToyoverseTOYO,,,SFUND
SFUND,,Space MisfitsSMCW,N/A,N/A,N/A,N/A,N/A,,,14 Jan,"$400,000",,,,,,,,,,,,,,,,,,,Space MisfitsSMCW,,,SFUND
SFUND,,CyberTradeCCASH,N/A,N/A,N/A,N/A,N/A,,,24 Jan,"$500,000",,,,,,,,,,,,,,,,,,,CyberTradeCCASH,,,SFUND
SFUND,,BullieverseBULL,N/A,N/A,N/A,N/A,N/A,,,8 Feb,"$400,000",,,,,,,,,,,,,,,,,,,BullieverseBULL,,,SFUND
SFUND,,PlutoniansRPC,N/A,N/A,N/A,N/A,N/A,,,11 Feb,"$700,000",,,,,,,,,,,,,,,,,,,PlutoniansRPC,,,SFUND
SFUND,,Spark EraFIRE,N/A,N/A,N/A,N/A,N/A,,,13 Dec 2021,N/A,,,,,,,,,,,,,,,,,,,Spark EraFIRE,,,SFUND
