id,rank,slug,name,symbol,category,startDate,endDate,type,tokensForSale,hardCap,raised,ICO_price,ieoPlatformExchange.id,ieoPlatformExchange.name,ieoPlatformExchange.slug,tokenRole,totalTokensForSale,status.code,,,,,,,,,,,,,,,,,
25301,57,flow,Flow,FLOW,Blockchain infrastructure,10/6/2020 0:00:00,10/6/2020 0:00:00,ICO,0,,,0.38,,,,Utility,25000000,200,,,,,,,,,,,,,,,,,
61,59,zilliqa,Zilliqa,ZIL,Blockchain infrastructure,12/27/2017 0:00:00,1/4/2018 0:00:00,ICO,0,22000000,,0.0038,,,,,,200,,,,,,,,,,,,,,,,,
7484,65,harmony,Harmony,ONE,Blockchain infrastructure,5/27/2019 0:00:00,5/29/2019 0:00:00,IEO,1575000000,,,0.003175,2,Binance,binance,Utility,1575000000,200,,,,,,,,,,,,,,,,,
7484,65,harmony,Harmony,ONE,Blockchain infrastructure,,12/31/2018 0:00:00,Private/Pre-sale,0,,,0.0065,,,,Utility,1575000000,200,,,,,,,,,,,,,,,,,
3981,67,arweave,Arweave,AR,Cloud Storage,6/3/2018 0:00:00,6/6/2018 0:00:00,ICO,0,8700000,,0.72,,,,,,200,,,,,,,,,,,,,,,,,
172327,69,bittorrent-new,BitTorrent (new),BTT,Cloud Storage,11/1/2018 0:00:00,12/31/2018 0:00:00,Private/Pre-sale,0,,,0.000000177,,,,Utility,,200,,,,,,,,,,,,,,,,,
172327,69,bittorrent-new,BitTorrent (new),BTT,Cloud Storage,1/28/2019 0:00:00,1/28/2019 0:00:00,IEO,0,,,0.00000012,2,Binance,binance,Utility,,200,,,,,,,,,,,,,,,,,
3475,70,quant,Quant,QNT,Blockchain Service,4/2/2018 0:00:00,4/30/2018 0:00:00,ICO,0,36900000,,1.51,,,,,,200,,,,,,,,,,,,,,,,,
112,75,enjin-coin,Enjin Coin,ENJ,Gaming,10/3/2017 0:00:00,11/1/2017 0:00:00,ICO,0,25000000,,0.0512,,,,,,200,,,,,,,,,,,,,,,,,
4023,79,blockstack,Stacks,STX,Blockchain infrastructure,7/11/2019 0:00:00,9/11/2019 0:00:00,ICO,62000000,,,0.3,,,,Security,,200,,,,,,,,,,,,,,,,,
4023,79,blockstack,Stacks,STX,Blockchain infrastructure,,,Pre-sale,78333333,,,0.12,,,,Security,,200,,,,,,,,,,,,,,,,,
64,80,loopring,Loopring,LRC,DeFi,,8/16/2017 0:00:00,ICO,0,,,0.06,,,,,,200,,,,,,,,,,,,,,,,,
1195,82,huobi-token,Huobi Token,HT,Exchange token,1/24/2018 0:00:00,2/28/2018 0:00:00,ICO,0,300000000,,1.52,,,,,,200,,,,,,,,,,,,,,,,,
1572,84,synthetix,Synthetix,SNX,DeFi,2/26/2018 0:00:00,2/28/2018 0:00:00,ICO,0,30000000,,0.67,,,,,,200,,,,,,,,,,,,,,,,,
3995,85,celsius,Celsius,CEL,Financial services,3/16/2018 0:00:00,3/22/2018 0:00:00,ICO,0,50000000,,0.3,,,,,,200,,,,,,,,,,,,,,,,,
53,87,basic-attention-token,Basic Attention Token,BAT,Advertising,,5/31/2017 0:00:00,ICO,0,,,0.04,,,,,,200,,,,,,,,,,,,,,,,,
