,id,rank,name,symbol,category,tokenRole,totalTokensForSale,endDate,type,tokensForSale,startDate,ieoPlatformExchange,ICO_price,intended_raise,hardCap,softCap,actual_raised,platform,date_1,price_1,sale_1,cumulative_realized_ROI_1,date_2,price_2,sale_2,cumulative_realized_ROI_2,date_3,price_3,sale_3,cumulative_realized_ROI_3,date_4,price_4,sale_4,cumulative_realized_ROI_4,date_5,price_5,sale_5,cumulative_realized_ROI_5,date_6,price_6,sale_6,cumulative_realized_ROI_6
1321,90309,,True P&L,PNL,Trading and investment,Utility,,2021-05-18,IEO,1250000,2021-05-18,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",0.08,100000.0,,,,,2022-02-19 00:00:00+00:00,0.07262731,0.013572228556250001,0.16965285695312501,2022-03-21 00:00:00+00:00,0.05726334,0.011175298696875,0.30934409066406254,2022-04-20 00:00:00+00:00,0.050449322296,0.008280975978633453,0.4128562903969807,,,,,,,,,,,,
1327,90324,,Fomo Labs,FOMO,DeFi,Utility,,2021-04-09,IDO,12500000,2021-04-09,,0.02688,336193.0,,,,['START'],2022-02-19 00:00:00+00:00,0.0216386,0.004043713375000001,0.15043576543898812,2022-03-21 00:00:00+00:00,0.02491899,0.0048630966421875,0.3313545393298921,,,,,,,,,,,,,,,,
214,90357,524.0,Centrifuge,CFG,Protocol,Utility,,2021-05-26,ICO,17000000,2021-05-26,,0.55,9350000.0,,,,,2022-02-19 00:00:00+00:00,0.5948298,0.111158818875,0.20210694340909088,2022-03-21 00:00:00+00:00,0.47449673,0.0926010024640625,0.37047240243465906,2022-04-20 00:00:00+00:00,0.565533621229,0.09282920204615425,0.5392527697913031,,,,,,,,,,,,
1343,90361,,NFTify,N1,Marketplace,Utility,,2021-06-04,IDO,1750000,2021-06-04,,0.08,140000.0,,,,"['PKF', 'PAID']",2022-02-19 00:00:00+00:00,0.03203913,0.005987312418750001,0.074841405234375,2022-03-21 00:00:00+00:00,0.02737782,0.005342952684375,0.14162831378906252,2022-04-20 00:00:00+00:00,0.022922749252,0.003762641940090056,0.1886613380401882,,,,,,,,,,,,
1710,90363,,ArGo,ARGO,Blockchain Service,Utility,,2021-05-12,IDO,2000000,2021-05-12,,0.125,250000.0,,,,['PAID'],2022-02-19 00:00:00+00:00,0.05743819,0.010733761756250002,0.08587009405000001,2022-03-21 00:00:00+00:00,0.06475586,0.012637510803125,0.18697018047500003,2022-04-20 00:00:00+00:00,0.039426033008,0.006471564282994222,0.2387426947389538,,,,,,,,,,,,
2018,90490,,Cryptomeda,TECH,Gaming,,,2021-08-25,IDO,20000000,2021-08-24,,0.014,280000.0,,,,['SFUND'],2022-02-19 00:00:00+00:00,0.0071788,0.00134153825,0.09582416071428572,2022-03-21 00:00:00+00:00,0.00476225,0.0009293828515625001,0.16220865011160715,2022-04-20 00:00:00+00:00,0.003538535972,0.000580831021113354,0.20369658019113243,,,,,,,,,,,,
301,90495,724.0,Stratos ,STOS,Cloud Storage,,,2021-06-09,IDO,1000000,2021-06-09,,0.3,300000.0,,,,['POLS'],2022-02-19 00:00:00+00:00,1.29938613,0.24282278304375002,0.8094092768125001,2022-03-21 00:00:00+00:00,0.86089932,0.16800988291875002,1.369442219875,2022-04-20 00:00:00+00:00,1.222918232633,0.20073523384217373,2.0385596660155794,,,,,,,,,,,,
1865,90540,,Unreal Finance,UGT,DeFi,Utility,,2021-08-23,IDO,2500000,2021-08-23,,0.12012,300000.0,,,,['CARDS'],2022-02-19 00:00:00+00:00,0.02901699,0.0054225500062500005,0.045142773944805197,2022-03-21 00:00:00+00:00,0.02255735,0.0044022078359375,0.08179119082740176,2022-04-20 00:00:00+00:00,0.022971443929,0.003770634900791458,0.11318175776705759,,,,,,,,,,,,
671,90580,1517.0,MoonStarter,MNST,DeFi,Utility,,2021-06-11,IDO,5000000,2021-06-11,,0.014,70000.0,70000.0,,,,2022-02-19 00:00:00+00:00,0.03030246,0.0056627722125,0.40448372946428574,2022-03-21 00:00:00+00:00,0.02258611,0.0044078205296875,0.7193280530133929,2022-04-20 00:00:00+00:00,0.020767412089,0.0034088553189747487,0.9628177186544463,,,,,,,,,,,,
555,90592,1284.0,Don-key,DON,DeFi,Utility,,2021-05-14,IDO,1500000,2021-05-14,,0.12,180000.0,,,,,2022-02-19 00:00:00+00:00,0.14206599,0.02654858188125,0.22123818234375003,2022-03-21 00:00:00+00:00,0.1214179,0.023695462046875,0.4187003660677084,2022-04-20 00:00:00+00:00,0.113739856673,0.018669765579725217,0.5742817458987519,,,,,,,,,,,,
118,90594,289.0,MetisDAO,METIS,Blockchain Service,Utility,,2021-05-13,IDO,20000,2021-05-13,,5.0,100000.0,,,,,2021-05-14 00:00:00+00:00,10.89643259,2.03627084025625,0.40725416805125,2021-06-13 00:00:00+00:00,4.74949662,0.9268939497468751,0.592632958000625,2021-07-13 00:00:00+00:00,6.99355488,1.1479531801585086,0.8222235940323266,2021-08-12 00:00:00+00:00,6.24387277,1.0066758206737827,1.0235587581670833,2021-09-11 00:00:00+00:00,46.71982881,7.503074728545532,2.5241737038761896,2021-10-11 00:00:00+00:00,57.50736613,7.593163083774196,4.04280632063103
328,90617,785.0,DOTMOOVS,MOOV,Artificial Intelligence,Utility,,2021-05-25,IDO,40000000,2021-05-25,,0.004,160000.0,,,,,2022-02-19 00:00:00+00:00,0.00959768,0.0017935664500000003,0.44839161250000004,2022-03-21 00:00:00+00:00,0.00644279,0.0012573507359375001,0.762729296484375,2022-04-20 00:00:00+00:00,0.042727434766,0.007013471040302315,2.516097056559954,,,,,,,,,,,,
309,90651,744.0,Solanium,SLIM,Trading and investment,Utility,,2021-05-14,IDO,5000000,2021-05-14,,0.2,1000000.0,,,,,2022-02-19 00:00:00+00:00,1.08925631,0.20355477293125,1.01777386465625,2022-03-21 00:00:00+00:00,0.67448664,0.13163028333750001,1.67592528134375,2022-04-20 00:00:00+00:00,0.401901977201,0.06596997675091962,2.0057751650983477,,,,,,,,,,,,
496,90655,1153.0,Fear,FEAR,Gaming,Utility,,2021-05-20,IDO,950000,2021-05-18,,0.1,95000.0,,,,['DAO'],2022-02-19 00:00:00+00:00,0.39862766,0.0744935439625,0.744935439625,2022-03-21 00:00:00+00:00,0.39059401,0.0762268622640625,1.507204062265625,2022-04-20 00:00:00+00:00,0.413673455437,0.06790219950573453,2.18622605732297,,,,,,,,,,,,
1194,90661,,LaunchX,LNCHX,DeFi,Utility,,2021-05-17,IDO,170000,2021-05-14,,0.1,170000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,90663,,ZKCHAOS ,CHAOS,Protocol,Utility,,2021-06-10,IDO,320000,2021-06-10,,0.25,80000.0,,,,"['AUCTION', 'BSCS']",,,,,,,,,,,,,,,,,,,,,,,,
1197,90666,,0x_NODES,BIOS,Blockchain Service,Utility,,2021-05-17,IDO,100000,2021-05-17,,5.0,500000.0,,,,,2022-02-19 00:00:00+00:00,2.38221163,0.44517579835625004,0.08903515967125,2022-03-21 00:00:00+00:00,2.13445946,0.416553103990625,0.17234578046937502,2022-04-20 00:00:00+00:00,1.394178598255,0.22884667140493778,0.21811511475036255,,,,,,,,,,,,
79,90739,194.0,Radio Caca,RACA,Non-Fungible Tokens (NFT),Utility,,2021-08-27,IEO,100000000,2021-08-27,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",0.000723554,72355.0,,,,,2021-09-29 00:00:00+00:00,0.00038924,7.2739225e-05,0.10053047180998241,2021-10-29 00:00:00+00:00,0.00259331,0.0005061006546875001,0.7999954111061512,2021-11-28 00:00:00+00:00,0.00510436,0.000837852336217584,1.9579633529841367,2021-12-28 00:00:00+00:00,0.00376282,0.0006066651341372101,2.796415125950923,2022-01-27 00:00:00+00:00,0.00181404,0.000291329784959688,3.1990523651337455,2022-02-26 00:00:00+00:00,0.00167673,0.00022139223536469602,3.50503123521766
929,91007,1982.0,Alium Swap,ALM,Exchange token,Utility,,2021-05-28,IDO,952381,2021-05-28,,0.315,300000.0,,,,"['BSCPAD', 'LPOOL', 'zendit']",2022-02-19 00:00:00+00:00,0.03248138,0.0060699578875,0.019269707579365077,2022-03-21 00:00:00+00:00,0.03550458,0.0069289406906250005,0.04126634469246032,2022-04-20 00:00:00+00:00,0.033006294213,0.0054177998252958205,0.05846570921720895,,,,,,,,,,,,
1112,91008,,Kally,KALLY,Marketplace,Utility,,2021-05-25,IDO,4000000,2021-05-25,,0.05,200000.0,,,,['POOLZ'],2022-02-19 00:00:00+00:00,0.03754099,0.007015472506250001,0.140309450125,2022-03-21 00:00:00+00:00,0.02288777,0.004466691364062501,0.22964327740625004,,,,,,,,,,,,,,,,
1781,91010,,Moma Protocol,MOMAT,DeFi,Utility,,2021-07-06,IDO,138888,2021-07-06,,0.36,50000.0,,,,['AUCTION'],2022-02-19 00:00:00+00:00,0.02411672,0.0045068120500000005,0.012518922361111113,2022-03-21 00:00:00+00:00,0.02005396,0.00391365563125,0.023390188003472222,2022-04-20 00:00:00+00:00,0.022003858949,0.003611811201839573,0.03342299689747104,,,,,,,,,,,,
878,91014,1898.0,Knit Finance,KFT,DeFi,Utility,,2021-09-02,IEO,105263,2021-09-02,"{'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}",0.19,20000.0,,,,['DAO'],2022-02-19 00:00:00+00:00,0.0927443,0.017331591062500002,0.09121890032894737,2022-03-21 00:00:00+00:00,0.04317539,0.008425947204687501,0.13556599087993423,2022-04-20 00:00:00+00:00,0.039675331311,0.006512485214430018,0.1698422288506185,,,,,,,,,,,,
736,91029,1642.0,Spherium,SPHRI,Financial services,Utility,,2021-06-16,IDO,641025,2021-06-16,,0.195,125000.0,,,,"['BSCPAD', 'DAO']",2022-02-19 00:00:00+00:00,0.07314071,0.01366817018125,0.07009318041666666,2022-03-21 00:00:00+00:00,0.04800908,0.009369272018750001,0.11814072923076924,2022-04-20 00:00:00+00:00,0.039380716629,0.006464125851141046,0.1512900925699541,,,,,,,,,,,,
1503,91040,,SolPAD Finance,SOLPAD,DeFi,Utility,,2021-06-03,IDO,10500000,2021-06-03,,0.016,168000.0,,,,,2022-02-19 00:00:00+00:00,0.00182023,0.00034015548125,0.021259717578125,2022-03-21 00:00:00+00:00,0.00131374,0.000256384571875,0.0372837533203125,2022-04-20 00:00:00+00:00,0.001052707203,0.00017279603895231302,0.048083505754832064,,,,,,,,,,,,
1899,91061,,GeroWallet,GERO,Wallet,Utility,,2021-05-17,IDO,33230859,2021-05-11,,0.0072915659495,242305.0,,,,['CARDS'],2022-02-19 00:00:00+00:00,0.03584138,0.0066978578875,0.9185760553889372,2022-03-21 00:00:00+00:00,0.02854969,0.0055716504390625,1.6826986701538165,2022-04-20 00:00:00+00:00,0.019636604236,0.0032232394922209065,2.124749049255432,,,,,,,,,,,,
1735,91075,,BSClaunch,BSL,DeFi,Utility,,2021-05-26,IDO,1000000,2021-05-26,,0.08,80000.0,,,,,2022-02-19 00:00:00+00:00,0.04265227,0.007970642956250001,0.09963303695312502,2022-03-21 00:00:00+00:00,0.02609672,0.0050929380125,0.16329476210937502,2022-04-20 00:00:00+00:00,0.019977782643,0.0032792420322791988,0.204285287512865,,,,,,,,,,,,
1371,91134,,NFT Stars,NFTS,Marketplace,Utility,,2021-06-05,IDO,25000,2021-06-05,,2.0,50000.0,,,,"['BSCPAD', 'cyberfi']",2022-02-19 00:00:00+00:00,0.64565113,0.12065605491875,0.060328027459375,2022-03-21 00:00:00+00:00,0.36828346,0.071872818990625,0.0962644369546875,2022-04-20 00:00:00+00:00,0.353701725016,0.0580581731360729,0.12529352352272394,,,,,,,,,,,,
359,91135,854.0,Scallop,SCLP,Financial services,Utility,,2021-10-27,ICO,1000000,2021-10-27,,0.15,150000.0,,,,,2022-02-19 00:00:00+00:00,0.80844526,0.15107820796250002,1.0071880530833335,2022-03-21 00:00:00+00:00,0.56287927,0.10984940753593751,1.7395174366562502,2022-04-20 00:00:00+00:00,0.629673473506,0.10335740246206049,2.4285667864033207,,,,,,,,,,,,
942,91142,1999.0,Phantom,PHM,DeFi,Utility,,2021-09-08,IDO,4000000,2021-09-07,,0.005,20000.0,,,,,2022-02-19 00:00:00+00:00,0.00083589,0.00015620694375,0.03124138875,2022-03-21 00:00:00+00:00,0.00046359,9.047248593750001e-05,0.049335885937500004,2022-04-20 00:00:00+00:00,0.000317409269,5.210096810741515e-05,0.05975607955898304,,,,,,,,,,,,
1188,91150,,HaloDAO,RNBW,DeFi,Utility,,2021-06-26,IDO,1000000,2021-06-24,,0.35,350000.0,,,,,2022-02-19 00:00:00+00:00,0.03420757,0.00639253964375,0.018264398982142858,2022-03-21 00:00:00+00:00,0.02347815,0.0045819077109375,0.031355563870535716,2022-04-20 00:00:00+00:00,0.021603788786,0.0035461419072129207,0.041487397891144064,,,,,,,,,,,,
