,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale
24,1195,62.0,huobi-token,Huobi Token,HT,Exchange token,"[{'startDate': '2018-01-24', 'endDate': '2018-02-28', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 1.52, 'hardCap': 300000000, 'raise': 300000000}, 'BTC': {'price': 0.000143485144120043}, 'ETH': {'price': 0.0017478486187853}}}]",,
25,172327,64.0,bittorrent-new,BitTorrent (new),BTT,Cloud Storage,"[{'startDate': '2018-11-01', 'endDate': '2018-12-31', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'USD': {'price': 1.77e-07, 'raise': 19300000}}}, {'startDate': '2019-01-28', 'endDate': '2019-01-28', 'type': 'IEO', 'tokensForSale': 0, 'values': {'USD': {'price': 1.2e-07, 'raise': 7200000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}]",Utility,
26,7993,67.0,thor-chain,THORChain,RUNE,DeFi,"[{'startDate': '2019-07-20', 'endDate': '2019-07-21', 'type': 'IEO', 'tokensForSale': 10000000, 'values': {'USD': {'price': 0.032, 'raise': 320000}, 'BNB': {'price': 0.00105}}, 'ieoPlatformExchange': {'id': 109, 'name': 'Binance Dex', 'slug': 'binance-dex'}}, {'type': 'Private/Pre-sale', 'tokensForSale': 130000000, 'values': {'USD': {'price': 0.0245, 'raise': 1600000}}}, {'startDate': '2019-07-20', 'endDate': '2019-07-21', 'type': 'IEO', 'tokensForSale': 10000000, 'values': {'USD': {'price': 0.038, 'raise': 380000}}, 'ieoPlatformExchange': {'id': 109, 'name': 'Binance Dex', 'slug': 'binance-dex'}}]",Utility,150000000.0
27,3475,68.0,quant,Quant,QNT,Blockchain Service,"[{'startDate': '2018-04-02', 'endDate': '2018-04-30', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 1.51, 'hardCap': 36900000, 'raise': 15000000}, 'BTC': {'price': 0.00017946}, 'ETH': {'price': 0.002325581, 'hardCap': 57000}}}]",,
28,3436,70.0,fantom,Fantom,FTM,Blockchain infrastructure,"[{'startDate': '2018-06-15', 'endDate': '2018-06-15', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0438}, 'ETH': {'price': 8.634e-05}}}, {'startDate': '2018-05-01', 'endDate': '2018-06-10', 'type': 'Private/Pre-sale', 'tokensForSale': 0, 'values': {'ETH': {'price': 8.634e-05}, 'USD': {'price': 0.0438, 'raise': 37400000}}}]",,
29,173314,71.0,stepn,STEPN,GMT,Entertainment,"[{'startDate': '2022-03-02', 'endDate': '2022-03-09', 'type': 'IEO', 'tokensForSale': 420000000, 'values': {'USD': {'price': 0.01, 'raise': 4200000}}, 'ieoPlatformExchange': {'id': 2, 'name': 'Binance', 'slug': 'binance'}}, {'type': 'Private', 'tokensForSale': 978000000, 'values': {'USD': {'price': 0.005, 'raise': 5000000}}}]",,
30,7139,72.0,gatechain-token,GateToken,GT,Exchange token,"[{'startDate': '2019-04-08', 'endDate': '2019-04-21', 'type': 'IEO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.4, 'hardCap': 83000000, 'raise': 83000000}}, 'ieoPlatformExchange': {'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}}]",Utility,
31,3981,76.0,arweave,Arweave,AR,Cloud Storage,"[{'startDate': '2018-06-03', 'endDate': '2018-06-06', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'hardCap': 8700000, 'price': 0.72, 'raise': 8700000}}}]",,
32,2132,77.0,nexo,Nexo,NEXO,Financial services,"[{'startDate': '2018-03-06', 'endDate': '2018-04-01', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.1, 'hardCap': 52500000, 'raise': 52500000}, 'BTC': {'price': 1.47284677397979e-05}, 'ETH': {'price': 0.000262606157083051}}}]",,
33,61,78.0,zilliqa,Zilliqa,ZIL,Blockchain infrastructure,"[{'startDate': '2017-12-27', 'endDate': '2018-01-04', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0038, 'hardCap': 22000000, 'raise': 22000000}, 'BTC': {'price': 2.57404651328021e-07}, 'ETH': {'price': 8.4656e-06}}}]",,
